title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
Egomaniac (Paperback),Vi Keeland,2017,Adult, Romance,368,4.22,44747,,
Eleanor & Park (Hardcover),Rainbow Rowell,2012,Adult, Romance,387,3.97,1066165,TRUE,
"Electric Idol (Dark Olympus, #2)",Katee Robert,2022,Young Adult, Contemporary Romance,400,4.03,38994,,
"Elements of Chemistry: Attraction (Hypothesis, #1)",Penny Reid,2015,Young Adult, Romance,384,3.95,22910,,
"Eleven Scandals to Start to Win a Duke's Heart (Love By Numbers, #3)",Sarah MacLean,2011,Adult, Contemporary Romance,309,4,26960,,
Eligible: A Modern Retelling of Pride & Prejudice (Hardcover),Curtis Sittenfeld,2016,Adult, Romance,336,3.6,83519,,
Eliza and Her Monsters (Hardcover),Francesca Zappia,2017,Young Adult, Romance,352,4.16,60125,,
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,1997,Adult, Fantasy/Romance,337,3.99,403722,TRUE,
Emergency Contact (Hardcover),Mary H.K. Choi,2018,Adult, Romance,433,3.67,38653,,
Emma (Paperback),Jane Austen,1815,Young Adult, Contemporary Romance,336,4.04,784651,,
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,2016,Young Adult, Contemporary Romance,306,4.56,343879,,
"Entwined with You (Crossfire, #3)",Sylvia Day,2013,Adult, Contemporary Romance,352,4.19,196211,,
"Evermore (The Immortals, #1)",Alyson Noel,2009,Adult, Romance,391,3.59,282408,,
"Every Day (Every Day, #1)",David Levithan,2012,Young Adult, Contemporary Romance,320,3.91,221358,,
Every Summer After (Paperback),Carley Fortune,2022,Young Adult, Contemporary Romance,310,4.34,150232,,
Everything Leads to You (Hardcover),Nina LaCour,2014,Young Adult, Contemporary Romance,352,3.85,32061,,
"Everything, Everything (Hardcover)",Nicola Yoon,2015,Adult, Romance,464,4,539107,TRUE,
Evvie Drake Starts Over (Hardcover),Linda  Holmes,2019,Adult, Romance,279,3.84,119436,,
"Face the Fire (Three Sisters Island, #3)",Nora Roberts,2002,Young Adult, Romance,336,4.15,39714,,
"Faking It (Dempseys, #2)",Jennifer Crusie,2002,Adult, Romance,374,3.92,18934,,
"Faking It (Losing It, #2)",Cora Carmack,2013,Young Adult, Fantasy,384,3.93,34437,,
"Fallen (Fallen, #1)",Lauren Kate,2009,Young Adult, Fantasy,448,3.72,553649,,
"Fallen Crest High (Fallen Crest High, #1)",Tijan,2012,Adult, Romance,391,4.09,54947,,
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines,2012,Adult, Contemporary Romance,288,4.16,169269,,
"Falling into You (Falling, #1)",Jasinda Wilder,2013,Adult, Contemporary Romance,363,4.03,53083,,
Fangirl (Kindle Edition),Rainbow Rowell,2013,Young Adult, Contemporary Fiction,445,3.98,695972,TRUE,
Fangirl (Kindle Edition),Rainbow Rowell,2013,Young Adult, Contemporary Fiction,445,3.98,695972,,
Fangs (Kindle Edition),Sarah Andersen,2020,Young Adult, Graphic Novel,224,4.27,27860,,
"Fantasy Lover (Hunter Legends, #1)",Sherrilyn Kenyon,2002,Adult, Paranormal Romance,337,4.15,90374,,
Far From the Madding Crowd (Paperback),Thomas Hardy,1874,Adult, Classic Literature,433,3.95,142383,,
Felix Ever After (Hardcover),Kacen Callender,2020,Young Adult, Contemporary Fiction,368,4.32,47296,,
"Feral Sins (The Phoenix Pack, #1)",Suzanne Wright,2012,Adult, Paranormal Romance,430,4.03,50504,,
Field Notes on Love (Hardcover),Jennifer E. Smith,2019,Young Adult, Contemporary Romance,320,3.84,16605,,
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,2011,Adult, Erotica,532,3.83,837476,,
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012,Adult, Erotica,592,3.84,795618,,
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011,Adult, Erotica,528,3.66,2327268,,
Fight or Flight (Paperback),Samantha Young,2018,Adult, Contemporary Romance,316,3.73,21971,,
"Finale (Caraval, #3)",Stephanie Garber,2019,Young Adult, Fantasy,496,4.21,96804,,
"Finale (Hush, Hush, #4)",Becca Fitzpatrick,2012,Young Adult, Fantasy,432,4.14,163162,,
"Finding Cinderella (Hopeless, #2.5)",Colleen Hoover,2013,Young Adult, Contemporary Romance,176,4.16,87058,,
"Finding the Dream (Dream Trilogy, #3)",Nora Roberts,1997,Adult, Contemporary Romance,325,4.1,21944,,
"Fire (Graceling Realm, #2)",Kristin Cashore,2009,Young Adult, Fantasy,480,4.1,177298,,
"Firelight (Darkest London, #1)",Kristen Callihan,2012,Adult, Paranormal Romance,416,3.77,16432,,
First Comes Scandal (Rokesbys #4),Julia Quinn,2020,Adult, Historical Romance,384,3.83,22463,,
"First Drop of Crimson (Night Huntress World, #1)",Jeaniene Frost,2010,Adult, Paranormal Romance,357,4.14,56219,,
"First Grave on the Right (Charley Davidson, #1)",Darynda Jones,2011,Adult, Paranormal Romance,310,4.02,83508,,
Five Feet Apart (ebook),Rachael Lippincott,2018,Young Adult, Contemporary Romance,288,4.2,173328,,
"Fix Her Up (Hot & Hammered, #1)",Tessa Bailey,2019,Adult, Contemporary Romance,400,3.65,93869,TRUE,
"Fixed on You (Fixed, #1)",Laurelin Paige,2013,Adult, Contemporary Romance,232,4.13,54771,,
"Flat-Out Love (Flat-Out Love, #1)",Jessica Park,2011,Young Adult, Contemporary Romance,281,3.99,58622,,
Flipped (Paperback),Wendelin Van Draanen,2001,Young Adult, Contemporary Romance,336,3.97,109473,,
"Float Plan (Beck Sisters, #1)",Trish Doller,2021,Adult, Contemporary Romance,488,4,21703,,
"Flock (The Ravenhood, #1)",Kate  Stewart,2020,Adult, Historical Romance,550,4.14,65945,,
Flowers from the Storm (Mass Market Paperback),Laura Kinsale,1992,Young Adult, Romance,287,4.09,14924,,
Forbidden (Paperback),Tabitha Suzuma,2010,Adult, Romance,384,4,67402,,
"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,2011,Young Adult, Fantasy,560,3.89,120152,,
"Forever My Girl (Beaumont Series, #1)",Heidi McLaughlin,2012,Young Adult, Contemporary Romance,350,4,51233,,
"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",Abbi Glines,2013,Young Adult, Contemporary Romance,484,4.21,84454,,
Frankly in Love (Hardcover),David  Yoon,2019,Adult, Contemporary Romance,256,3.75,26164,,
Frederica (Paperback),Georgette Heyer,1965,Adult, Paranormal Romance,384,4.19,20606,,
"Friends Without Benefits (Knitting in the City, #2)",Penny Reid,2013,Adult, Contemporary Romance,428,3.96,26016,,
"Frigid (Frigid, #1)",J. Lynn,2013,Young Adult, Fantasy,327,3.69,48757,,
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,2020,Adult, Contemporary Romance,317,4.29,325849,,
"From Dead to Worse (Sookie Stackhouse, #8)",Charlaine Harris,2008,Adult, Contemporary Romance,432,4.01,183532,,
From Lukov with Love (Paperback),Mariana Zapata,2018,Young Adult, Paranormal Romance,327,4.34,144173,,
"Frostbite (Vampire Academy, #2)",Richelle Mead,2008,Adult, Romance,368,4.26,337887,,
"Full Tilt (Full Tilt, #1)",Emma   Scott,2016,Adult, Romance,398,4.42,21057,,
Funny You Should Ask (Paperback),Elissa Sussman,2022,Adult, Romance,384,3.78,43861,,
"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,2011,Adult, Contemporary Fiction,545,3.99,154059,,
"Gabriel's Rapture (Gabriel's Inferno, #2)",Sylvain Reynard,2012,Young Adult, Contemporary Fiction,390,4.21,112959,,
"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,2007,Adult, Contemporary Romance,320,4.05,94698,,
"Geekerella (Once Upon a Con, #1)",Ashley Poston,2017,Young Adult, Contemporary Fiction,384,3.93,59104,,
"Gentle Rogue (Malory-Anderson Family, #3)",Johanna Lindsey,1990,Adult, Historical Romance,384,4.2,21517,,
"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,2019,Adult, Contemporary Romance,384,3.85,138781,TRUE,
"Girl Gone Viral (Modern Love, #2)",Alisha Rai,2020,Adult, Contemporary Romance,432,3.72,10713,,
"Glass Sword (Red Queen, #2)",Victoria Aveyard,2016,Young Adult, Fantasy,444,3.83,296406,,
"Glory in Death (In Death, #2)",J.D. Robb,1995,Adult, Mystery/Crime,296,4.27,59298,,
Gone with the Wind (Mass Market Paperback),Margaret Mitchell,1936,Adult, Classic Literature,1037,4.3,1160178,,
"Good Boy (WAGs, #1)",Sarina Bowen,2017,Adult, Contemporary Romance,352,4.04,20456,,
Good Girl Complex (Paperback),Elle Kennedy,2022,Adult, Contemporary Romance,436,3.6,39196,,
"Graceling (Graceling Realm, #1)",Kristin Cashore,2008,Young Adult, Fantasy,471,4.07,433410,TRUE,
"Grave Mercy (His Fair Assassin, #1)",Robin LaFevers,2012,Young Adult, Fantasy/Historical Fiction,549,3.89,104570,,
"Grey (Fifty Shades as Told by Christian, #1)",E.L. James,2015,Adult, Romance/Erotica,576,3.81,167773,,
"Grin and Beard It (Winston Brothers, #2)",Penny Reid,2016,Adult, Contemporary Romance,400,4.14,27092,,
"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,1993,Adult, Urban Fantasy,272,4.02,142203,,
"Half-Blood (Covenant, #1)",Jennifer L. Armentrout,2011,Young Adult, Fantasy/Paranormal Romance,384,4.11,96160,,
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,2007,Adult, Contemporary Romance,368,4.13,151672,,
Hands Down (Kindle Edition),Mariana Zapata,2020,Adult, Contemporary Romance,497,3.96,32373,,
"Hang the Moon (Written in the Stars, #2)",Alexandria Bellefleur,2021,Young Adult, Contemporary Romance,240,3.86,10989,,
Hani and Ishu's Guide to Fake Dating (Kindle Edition),Adiba Jaigirdar,2021,Adult, Contemporary Romance,416,4.15,21328,,
"Happily Ever After (The Selection, #0.4, 0.5, 2.5, 2.6, 3.3)",Kiera Cass,2015,Young Adult, LGBTQ+ Contemporary Romance,384,4.09,56952,,
"Happy Ever After (Bride Quartet, #4)",Nora Roberts,2010,Young Adult, Graphic Novel/Romance,320,4.18,57059,,
Hate Notes (Kindle Edition),Vi Keeland,2018,Young Adult, Graphic Novel/Romance,288,4.14,63594,,
"Hate to Want You (Forbidden Hearts, #1)",Alisha Rai,2017,Young Adult, Graphic Novel/Romance,320,3.72,6516,,
Heart Bones (Kindle Edition),Colleen Hoover,2020,Young Adult, Graphic Novel/Romance,288,4.35,224754,,
"Heart of the Sea (Gallaghers of Ardmore, #3)",Nora Roberts,2000,Adult, Contemporary Romance,384,4.15,30801,,
Heartless (Hardcover),Marissa Meyer,2016,Adult, Contemporary Romance,384,4.08,151923,,
"Hearts in Darkness (Hearts in Darkness, #1)",Laura Kaye,2011,Young Adult, Fantasy,565,3.85,36815,,
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,2021,Adult, Historical Romance,438,4.67,227360,TRUE,
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,2018,Young Adult, LGBTQ+ Contemporary Romance,352,4.53,430677,TRUE,
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,2020,Young Adult, Paranormal Romance,323,4.63,273686,TRUE,
"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,2019,Adult, Romance,404,4.6,316062,TRUE,
"Heaven and Earth (Three Sisters Island, #2)",Nora Roberts,2001,Young Adult, LGBTQ+ Graphic Novel/Romance,288,4.14,40486,,
"Heaven, Texas (Chicago Stars, #2)",Susan Elizabeth Phillips,1995,Young Adult, LGBTQ+ Graphic Novel/Romance,272,4.05,33014,,
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,2014,Young Adult, LGBTQ+ Graphic Novel/Romance,320,4.46,473089,,
"Hello Stranger (The Ravenels, #4)",Lisa Kleypas,2018,Young Adult, LGBTQ+ Graphic Novel/Romance,352,4.06,23454,,
"Her Royal Highness (Royals, #2)",Rachel Hawkins,2019,Adult, Contemporary Romance,368,3.77,31026,,
"Hero (Hero, #1)",Samantha Young,2015,Adult, Contemporary Romance,384,4.05,32391,,
"Hex Hall (Hex Hall, #1)",Rachel Hawkins,2010,Young Adult, Contemporary Fiction,388,3.92,140304,,
"Hideaway (Devil's Night, #2)",Penelope Douglas,2017,Adult, Historical Romance,544,4.08,58200,,
"Him (Him, #1)",Sarina Bowen,2015,Adult, Contemporary Romance,272,4.29,47672,,
History Is All You Left Me (ebook),Adam Silvera,2017,Adult, Contemporary Fiction,294,3.98,60787,,
"Holding the Dream (Dream Trilogy, #2)",Nora Roberts,1996,Adult, Contemporary Romance,368,4.06,22798,,
Holding Up the Universe (Hardcover),Jennifer Niven,2016,Young Adult, Contemporary Fiction,400,3.76,105375,TRUE,
Honey Girl (Kindle Edition),Morgan  Rogers,2021,Adult, Contemporary Fiction,326,3.74,33312,,
Honor's Splendour (Mass Market Paperback),Julie Garwood,1987,Adult, Historical Romance,384,4.23,31123,,
"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,2022,Adult, Contemporary Romance,224,4.05,151160,TRUE,
"Hooked (Never After, #1)",Emily McIntire,2021,Adult, Fantasy/Paranormal,240,3.9,57684,,
"Hopeless (Hopeless, #1)",Colleen Hoover,2012,Young Adult, Contemporary Fiction,406,4.29,383899,,
"Hostage to Pleasure (Psy-Changeling, #5)",Nalini Singh,2008,Adult, Paranormal Romance,334,4.18,30702,,
"Hothouse Flower (Calloway Sisters, #2)",Krista Ritchie,2014,Adult, Contemporary Romance,512,4.33,39279,,
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,2020,Adult, Fantasy,816,4.48,312233,TRUE,
"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,2022,Adult, Fantasy,819,4.52,151116,,
How to Fail at Flirting (Paperback),Denise  Williams,2020,Adult, Contemporary Romance,352,3.82,24275,TRUE,
"How to Marry a Marquis (Agents of the Crown, #2)",Julia Quinn,1999,Adult, Historical Romance,384,4.04,20497,,
How to Walk Away (Hardcover),Katherine Center,2018,Adult, Contemporary Fiction,368,4.08,67507,,
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,1986,Young Adult, Fantasy,336,4.28,284025,TRUE,
"Hunting Ground (Alpha & Omega, #2)",Patricia Briggs,2009,Adult, Contemporary Fiction,352,4.27,66592,,
"Husband Material (London Calling, #2)",Alexis  Hall,2022,Adult, Contemporary Romance,400,3.71,12169,,
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,2009,Young Adult, Contemporary Fiction,416,3.94,660659,,
I Capture the Castle (Hardcover),Dodie Smith,1948,Young Adult, Contemporary Fiction,196,4,95848,,
I Kissed Shara Wheeler (Hardcover),Casey McQuiston,2022,Adult, Contemporary Romance,384,4.07,36892,,
I Owe You One (Hardcover),Sophie Kinsella,2019,Young Adult, Contemporary Fiction,320,3.54,65966,,
"I Wish You All the Best (I Wish You All the Best, #1)",Mason Deaver,2019,Young Adult, Contemporary Fiction,201,4.2,35376,,
"Ice Planet Barbarians (Ice Planet Barbarians, #1)",Ruby Dixon,2015,Adult, Mystery/Crime,320,3.68,75411,,
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,2006,Adult, Contemporary Romance,352,3.83,185180,,
"Idol (VIP, #1)",Kristen Callihan,2016,Young Adult, Contemporary Fiction,201,4,33894,,
If I Never Met You (Paperback),Mhairi McFarlane,2020,Young Adult, Contemporary Fiction,200,3.84,53076,,
"If I Stay (If I Stay, #1)",Gayle Forman,2009,Young Adult, Contemporary Fiction,368,3.93,826176,TRUE,
"If the Shoe Fits (Meant to Be, #1)",Julie   Murphy,2021,Young Adult, Science Fiction,599,4.02,24503,TRUE,
If This Gets Out (Hardcover),Sophie Gonzales,2021,Adult, Mystery/Crime,320,4.01,16385,,
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,2014,Adult, Contemporary Romance,346,4.45,262482,,
I'll Give You the Sun (Hardcover),Jandy Nelson,2014,Adult, Fantasy/Paranormal,304,4.15,309331,TRUE,
"Illuminae (The Illuminae Files, #1)",Amie Kaufman,2015,Young Adult, Contemporary Fiction,448,4.25,141918,,
"Immortal in Death (In Death, #3)",J.D. Robb,1996,Adult, Contemporary Romance,368,4.28,51583,,
In a Holidaze (Paperback),Christina Lauren,2020,Young Adult, Fantasy,576,3.74,110076,,
"In Bed with a Highlander (McCabe Trilogy, #1)",Maya Banks,2011,Adult, Contemporary Romance,384,3.98,33404,,
In Five Years (Hardcover),Rebecca Serle,2020,Adult, Contemporary Romance,301,3.81,324205,TRUE,
"In Flight (Up in the Air, #1)",R.K. Lilley,2012,Young Adult, Contemporary Fiction,352,4.08,76825,,
"Inner Harbor (Chesapeake Bay Saga, #3)",Nora Roberts,1999,Adult, Contemporary Romance,367,4.18,32911,,
Instructions for Dancing (Kindle Edition),Nicola Yoon,2021,Adult, Contemporary Romance,384,4.02,37962,TRUE,
"Insurgent (Divergent, #2)",Veronica Roth,2012,Adult, Contemporary Romance,375,3.99,1367875,TRUE,
"Intercepted (Playbook, #1)",Alexa  Martin,2018,Young Adult, Romance,454,3.75,11474,,
"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,2008,Adult, Contemporary Romance,368,4.34,118764,,
"Isla and the Happily Ever After (Anna and the French Kiss, #3)",Stephanie Perkins,2014,Young Adult, Romance,288,4.01,113789,,
"Isn't It Bromantic? (Bromance Book Club, #4)",Lyssa Kay Adams,2021,Adult, Contemporary Romance,342,4.07,20046,,
"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,2014,Adult, Contemporary Romance,384,4.1,43938,,
It Ends with Us (Kindle Edition),Colleen Hoover,2016,Adult, Contemporary Romance,390,4.38,1641804,TRUE,
"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips,1994,Young Adult, Romance,260,4.01,64323,,
"It Happened One Autumn (Wallflowers, #2)",Anna Todd,2005,Adult, Historical Romance,416,4.12,57733,,
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,2021,Adult, Contemporary Romance,336,4.07,255193,TRUE,
"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,2022,Adult, Contemporary Romance,376,4.64,3988,,
"It Takes Two to Tumble (Seducing the Sedgwicks, #1)",Cat Sebastian,2017,Adult, Contemporary Romance,386,3.88,5531,,
"It's in His Kiss (Bridgertons, #7)",Julia Quinn,2005,Adult, Historical Romance,386,4.01,105907,TRUE,
"It's Not Summer Without You (Summer, #2)",Jenny Han,2010,Adult, Paranormal Romance,438,3.91,262306,,
I've Got Your Number (Hardcover),Sophie Kinsella,2011,Adult, Contemporary Fiction,433,3.94,214926,,
Jane Eyre (Paperback),Charlotte Brontë,1847,Adult, Classic Literature,507,4.14,1896342,TRUE,
"Jewels of the Sun (Gallaghers of Ardmore, #1)",Nora Roberts,1999,Adult, Fantasy,368,4.22,63123,,
Josh and Hazel's Guide to Not Dating (Paperback),Christina Lauren,2018,Adult, Contemporary Fiction,309,4.01,117753,,
Just Haven't Met You Yet (Paperback),Sophie Cousens,2021,Adult, Contemporary Fiction,432,3.81,35118,TRUE,
Just Last Night (Paperback),Mhairi McFarlane,2021,Adult, Contemporary Fiction,416,4.04,31666,,
"Just Like Heaven (Smythe-Smith Quartet, #1)",Julia Quinn,2011,Adult, Historical Romance,384,3.95,47800,,
Just Listen (Hardcover),Sarah Dessen,2006,Young Adult, Contemporary Fiction,371,4.05,243619,,
"Just One Day (Just One Day, #1)",Gayle Forman,2013,Young Adult, Contemporary Fiction,384,3.99,83606,,
"Just One Year (Just One Day, #2)",Gayle Forman,2013,Young Adult, Contemporary Fiction,417,3.89,42605,,
Just the Sexiest Man Alive (Mass Market Paperback),Julie James,2008,Adult, Contemporary Fiction,352,3.92,44264,,
"Key of Knowledge (Key Trilogy, #2)",Nora Roberts,2003,Adult, Contemporary Fiction,390,4.12,36506,,
"Key of Light (Key Trilogy, #1)",Nora Roberts,2003,Adult, Contemporary Fiction,320,4.17,59041,,
"Key of Valor (Key Trilogy, #3)",Nora Roberts,2003,Adult, Fantasy,658,4.13,36182,,
"King (King, #1)",T.M. Frazier,2015,Adult, Fantasy,648,4.17,43994,,
"King of Battle and Blood (Adrian x Isolde, #1)",Scarlett St.  Clair,2021,Young Adult, Fantasy,448,3.84,40483,,
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,2018,Young Adult, Fantasy,720,4.62,261600,,
"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,2020,Young Adult, Fantasy,528,3.96,148866,,
"King's Cage (Red Queen, #3)",Victoria Aveyard,2017,Adult, Contemporary Fiction,390,3.94,200495,,
"Kings Rising (Captive Prince, #3)",C.S. Pacat,2016,Adult, Paranormal Romance,416,4.43,49858,,
Kiss an Angel (Paperback),Susan Elizabeth Phillips,1996,Adult, Paranormal Romance,372,4.19,58552,,
"Kiss of a Demon King (Immortals After Dark, #6)",Kresley Cole,2009,Adult, Paranormal Romance,383,4.32,42549,,
"Kiss of Midnight (Midnight Breed,  #1)",Lara Adrian,2007,Adult, Paranormal Romance,448,3.92,64186,,
"Kiss of Snow (Psy-Changeling, #10)",Nalini Singh,2011,Adult, Paranormal Romance,416,4.45,30080,,
"Kiss of Steel (London Steampunk, #1)",Bec McMaster,2012,Adult, Contemporary Romance,438,3.86,12266,,
"Kiss of the Highlander (Highlander, #4)",Karen Marie Moning,2001,Adult, Contemporary Romance,456,4.3,41767,,
"Kiss of the Night (Dark-Hunter, #4)",Sherrilyn Kenyon,2004,Adult, Contemporary Romance,352,4.22,43489,,
"Kiss the Sky (Calloway Sisters, #1)",Krista Ritchie,2014,Adult, Fantasy,912,4.29,47515,,
"Knight (Unfinished Hero, #1)",Kristen Ashley,2012,Adult, Classic Literature,361,3.92,53672,,
Kulti (Kindle Edition),Mariana Zapata,2015,Adult, Historical Romance,308,4.31,95837,,
"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,2001,Adult, Contemporary Romance,480,4.01,77268,,
Lady Chatterley's Lover (Hardcover),D.H. Lawrence,1928,Young Adult, Fantasy,720,3.51,111798,,
"Lady Isabella's Scandalous Marriage (MacKenzies & McBrides, #2)",Jennifer Ashley,2010,Adult, Historical Romance,435,3.92,16893,,
"Lady Luck (Colorado Mountain, #3)",Kristen Ashley,2011,Adult, Contemporary Fiction,308,4.41,38174,,
"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,2016,Young Adult, Contemporary Fiction,416,4.37,209164,,
"Lady Sophia's Lover (Bow Street Runners, #2)",Lisa Kleypas,2002,Young Adult, Contemporary Fiction,512,3.96,19157,,
Landline (Hardcover),Rainbow Rowell,2014,Adult, Contemporary Fiction,320,3.54,161979,TRUE,
Last Night at the Telegraph Club (Hardcover),Malinda Lo,2021,Young Adult, Contemporary Fiction,408,4.26,42868,,
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,2010,Young Adult, Contemporary Fiction,400,4.37,275495,,
"Law Man (Dream Man, #3)",Kristen Ashley,2012,Young Adult, Contemporary Fiction,377,4.3,43965,,
Layla (Kindle Edition),Colleen Hoover,2020,Young Adult, Contemporary Fiction,465,3.75,198655,,
"Lead (Stage Dive, #3)",Kylie Scott,2014,Adult, Mystery/Crime,324,4.28,47155,,
"Leah on the Offbeat (Simonverse, #3)",Becky Albertalli,2018,Young Adult, Contemporary Fiction,368,3.82,70871,,
"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles,2007,Young Adult, Contemporary Fiction,303,4,42404,,
"Legend (Legend, #1)",Marie Lu,2011,Young Adult, Dystopian/Science Fiction,305,4.16,487553,,
"Legendary (Caraval, #2)",Stephanie Garber,2018,Young Adult, Fantasy,496,4.23,125251,,
Leo (Kindle Edition),Mia Sheridan,2013,Adult, Contemporary Fiction,305,4,38850,,
Let it Snow (Kindle Edition),John Green,2008,Young Adult, Contemporary Fiction,352,3.71,136871,,
Let's Talk About Love (ebook),Claire Kann,2018,Young Adult, Contemporary Fiction,304,3.73,9914,,
"Letters to the Lost (Letters to the Lost, #1)",Brigid Kemmerer,2017,Young Adult, Contemporary Fiction,384,4.34,37067,,
"Lick (Stage Dive, #1)",Kylie Scott,2013,Young Adult, Contemporary Fiction,384,4.08,84934,,
"Life's Too Short (The Friend Zone, #3)",Abby Jimenez,2021,Young Adult, Contemporary Fiction,448,4.21,53005,,
Like Water for Chocolate (Paperback),Laura Esquivel,1989,Adult, Magical Realism,246,3.95,347670,,
"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,2010,Young Adult, Paranormal/Fantasy,360,3.88,164873,,
Little Women (Paperback),Louisa May Alcott,1868,Adult,Classic Literature,759,4.13,1991721,TRUE,
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,2002,Young Adult, Paranormal/Fantasy,291,3.96,245842,,
Lock and Key (Hardcover),Sarah Dessen,2008,Adult, Mystery/Thriller,320,4,147313,,
"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,2011,Young Adult, Contemporary Fiction,338,3.92,160612,,
Lolita (Paperback),Vladimir Nabokov,1955,Young Adult, Fantasy,701,3.88,763469,,
"Long Shot (Hoops, #1)",Kennedy Ryan,2018,Young Adult, Fantasy,720,4.22,27183,,
Looking for Alaska (Paperback),John Green,2005,Young Adult, Fantasy,608,3.98,1408442,TRUE,
"Lord of Scoundrels (Scoundrels, #3)",Loretta Chase,1995,Adult, Paranormal Romance,368,4.09,34076,,
"Lord of Shadows (The Dark Artifices, #2)",Cassandra Clare,2017,Young Adult, Contemporary Fiction,336,4.44,129104,,
"Lord of the Fading Lands (Tairen Soul, #1)",C.L. Wilson,2007,Adult,Classic Literature,336,3.99,20804,,
"Lore Olympus: Volume One (Lore Olympus, #1)",Rachel  Smythe,2021,Young Adult, Contemporary Fiction,369,4.37,66132,,
"Losing Hope (Hopeless, #2)",Colleen Hoover,2013,Adult, Mystery/Thriller,325,4.29,135445,,
"Losing It (Losing It, #1)",Cora Carmack,2012,Adult,Classic Literature,335,3.73,104381,,
"Lothaire (Immortals After Dark, #11)",Kresley Cole,2012,Young Adult, Dystopian/Science Fiction,369,4.38,44918,,
"Love & Gelato (Love & Gelato, #1)",Jenna Evans Welch,2016,Young Adult, Fantasy,384,4.1,102568,TRUE,
Love & Other Disasters (Kindle Edition),Anita Kelly,2022,Adult, Contemporary Fiction,424,3.87,11166,,
Love and Other Words (Hardcover),Christina Lauren,2018,Adult, Contemporary Fiction,416,4.35,215451,TRUE,
Love From A to Z (Kindle Edition),S.K. Ali,2019,Young Adult, Contemporary Fiction,384,4.16,15600,,
"Love Hacked (Knitting in the City, #3)",Penny Reid,2014,Adult, Contemporary Fiction,224,4.12,24306,,
"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey,2020,Adult, Contemporary Fiction,384,3.67,42780,,
"Love in the Afternoon (The Hathaways, #5)",Lisa Kleypas,2010,Adult, Contemporary Fiction,384,4.2,44436,,
Love in the Time of Cholera (Paperback),Gabriel García Márquez,1985,Adult, Contemporary Fiction,416,3.93,466520,,
"Love Irresistibly (FBI/US Attorney, #4)",Julie James,2013,Adult, Contemporary Fiction,335,4.09,17950,,
Love Lettering (Paperback),Kate Clayborn,2019,Adult,Contemporary Romance,400,3.7,39426,TRUE,
Love on the Brain (Kindle Edition),Ali Hazelwood,2022,Adult,Contemporary Romance,342,4.07,87537,TRUE,
"Love Only Once (Malory-Anderson Family, #1)",Johanna Lindsey,1985,Young Adult, Fantasy,372,4.05,19449,,
"Love Story (Love Story, #1)",Erich Segal,1970,Young Adult, Fantasy,448,3.64,57475,,
